Data,Close_filled,Close_filled_std
2019-02-28,3.7385,0.2706877983592019
2019-03-31,3.8967,0.38044497438076885
2019-04-30,3.9453,0.41416304489055494
2019-05-31,3.9407,0.41097162257892916
2019-06-30,3.8322,0.33569568327210203
2019-07-31,3.7649,0.2890037872780979
2019-08-31,4.1385,0.5482027819788401
2019-09-30,4.1644,0.5661718771682117
2019-10-31,4.0041,0.45495774748264195
2019-11-30,4.224,0.6075216097275382
2019-12-31,4.0307,0.473412493893348
2020-01-31,4.2695,0.6390889391142719
2020-02-29,4.4987,0.7981050247283251
2020-03-31,5.1987,1.2837562460626921
2020-04-30,5.427,1.4421479229636007
2020-05-31,5.4263,1.441662271742267
2020-06-30,5.476,1.4761435084570067
2020-07-31,5.2033,1.2869476683743177
2020-08-31,5.4713,1.4728827073994761
2020-09-30,5.6407,1.5904103029623926
2020-10-31,5.7718,1.6813658388437291
2020-11-30,5.3317,1.3760299781162217
2020-12-31,5.1967,1.282368671144594
2021-01-31,5.4759,1.476074129711102
2021-02-28,5.5302,1.5137467887374676
2021-03-31,5.6973,1.6296786731445718
2021-04-30,5.4036,1.4259132964218522
2021-05-31,5.2322,1.3069981259408368
2021-06-30,5.0022,1.147427010359545
2021-07-31,5.1216,1.2302652329700068
2021-08-31,5.1433,1.2453204208313724
2021-09-30,5.4394,1.4507508874558097
2021-10-31,5.643,1.5920060141182055
2021-11-30,5.6199,1.5759795238141718
2021-12-31,5.5805,1.5486442979276371
2022-01-31,5.3574,1.393860315813784
2022-02-28,5.137833332248862,1.2415277153028446
2022-03-31,4.7378,0.9639896061869637
2022-04-30,4.9191,1.089773272512565
2022-05-31,4.7289,0.957814897801427
2022-06-30,5.238,1.311022093203322
2022-07-31,5.1884,1.2766102352344864
2022-08-31,5.179,1.2700886331194252
2022-09-30,5.4066,1.4279946587989993
2022-10-31,5.257,1.3242040549252543
2022-11-30,5.2941,1.3499435696559763
2022-12-31,5.2177,1.296938207784625
2023-01-31,5.0993,1.2147937726332123
2023-02-28,5.2078,1.2900697119400388
2023-03-31,5.0804,1.2016811896571842
2023-04-30,5.0007,1.1463863291709713
2023-05-31,5.0959,1.2124348952724453
2023-06-30,4.8192,1.0204639053535605
2023-07-31,4.7415,0.9665566197854456
2023-08-31,4.9219,1.0917158773979023
2023-09-30,5.0076,1.15117346263841
2023-10-31,5.0575,1.18579345684496
2023-11-30,4.9355,1.1011513868409704
2023-12-31,4.8413,1.0357966081985455
2024-01-31,4.9535,1.1136395611038539
2024-02-29,4.9833,1.1343144273835168
2024-03-31,5.024699999800911,1.1630372280500243
2024-04-30,5.1718,1.2650933634142716
2024-05-31,5.2416,1.3135197280558986
2024-06-30,5.5589,1.533658488812177
2024-07-31,5.6621,1.6052573545860434
2024-08-31,5.6562,1.601164008577654
2024-09-30,5.4481,1.456786838349537
2024-10-31,5.7779,1.6855979423439287
2024-11-30,6.0535,1.8768057660578596
2024-12-31,6.1923,1.9731034653738746
2025-01-31,5.8301,1.7218136477062915
2025-02-28,5.8488,1.7347874731905095
2025-03-31,5.7422,1.6608297300558763
2025-04-30,5.6608,1.6043554308892798
2025-05-31,5.7087,1.6375878501777317
2025-06-30,5.4571,1.4630309254809786
2025-07-31,5.6021,1.5636301070430978
2025-08-31,5.4264,1.4417316504881716
2025-09-30,5.3186,1.366941362402679
2025-10-31,5.3843,1.4125231984622042
2025-11-30,5.334600000036868,1.3780419617730433
